"t","s","i","r","place","betap","gammap","M1","M2","M3"
47.75,29768552,9592241,23445178,3,1.06147e-08,0.33333,2,6,0
47.8,21304734,217583,677771.9,1,2.022192e-08,0.33333,0,5,5
47.8,469228.4,76864.68,1471877,2,3.303601e-07,0.33333,10,0,6
47.8,29617454,9583541,23604976,3,1.06147e-08,0.33333,6,5,0
47.85,21300036,218646,681407.1,1,2.022192e-08,0.33333,0,6,1
47.85,468635.7,76181.74,1473153,2,3.303601e-07,0.33333,4,0,5
47.85,29467266,9574083,23764622,3,1.06147e-08,0.33333,15,12,0
47.9,21295316,219713.4,685060,1,2.022192e-08,0.33333,0,0,1
47.9,468049,75504.88,1474417,2,3.303601e-07,0.33333,7,0,4
47.9,29317992,9563873,23924104,3,1.06147e-08,0.33333,5,5,0
47.95,21290574,220785,688730.8,1,2.022192e-08,0.33333,0,9,5
47.95,467468.2,74832.57,1475669,2,3.303601e-07,0.33333,6,0,2
47.95,29169638,9552921,24083410,3,1.06147e-08,0.33333,7,8,0
48,21285810,221860.1,692419.5,1,2.022192e-08,0.33333,0,11,8
48,466893.3,74166.29,1476911,2,3.303601e-07,0.33333,3,0,7
48,29022210,9541232,24242528,3,1.06147e-08,0.33333,2,8,0
48.05,21281024,222938.7,696126.1,1,2.022192e-08,0.33333,0,8,2
48.05,466324.2,73505.24,1478142,2,3.303601e-07,0.33333,7,0,4
48.05,28875711,9528814,24401444,3,1.06147e-08,0.33333,2,8,0
48.1,21276216,224022.1,699850.7,1,2.022192e-08,0.33333,0,2,7
48.1,465760.9,72849.21,1479361,2,3.303601e-07,0.33333,10,0,2
48.1,28730146,9515675,24560148,3,1.06147e-08,0.33333,7,2,0
48.15,21271386,225110.2,703593.5,1,2.022192e-08,0.33333,0,8,3
48.15,465203.3,72197.72,1480570,2,3.303601e-07,0.33333,7,0,8
48.15,28585520,9501822,24718626,3,1.06147e-08,0.33333,1,9,0
48.2,21266533,226201.9,707354.3,1,2.022192e-08,0.33333,0,1,3
48.2,464651.3,71551.9,1481768,2,3.303601e-07,0.33333,6,0,5
48.2,28441837,9487264,24876868,3,1.06147e-08,0.33333,2,5,0
48.25,21261658,227298.1,711133.5,1,2.022192e-08,0.33333,0,6,4
48.25,464104.9,70910.86,1482955,2,3.303601e-07,0.33333,9,0,5
48.25,28299100,9472008,25034861,3,1.06147e-08,0.33333,1,1,0
