time, S, I, R
34.35,709.603,17.5624,9282.83
34.4,709.545,17.3304,9283.13
34.45,709.487,17.1015,9283.41
34.5,709.429,16.8756,9283.7
34.55,709.373,16.6527,9283.97
34.6,709.317,16.4328,9284.25
34.65,709.262,16.2157,9284.52
34.7,709.208,16.0015,9284.79
34.75,709.154,15.7901,9285.06
34.8,709.101,15.5815,9285.32
34.85,709.049,15.3757,9285.58
34.9,708.998,15.1726,9285.83
34.95,708.947,14.9721,9286.08
35,708.897,14.7743,9286.33
35.05,708.848,14.5791,9286.57
35.1,708.799,14.3865,9286.81
35.15,708.751,14.1965,9287.05
35.2,708.703,14.0089,9287.29
35.25,708.656,13.8238,9287.52
35.3,708.61,13.6412,9287.75
35.35,708.565,13.4609,9287.97
35.4,708.52,13.2831,9288.2
35.45,708.475,13.1076,9288.42
35.5,708.431,12.9344,9288.63
35.55,708.388,12.7635,9288.85
35.6,708.345,12.5948,9289.06
35.65,708.303,12.4284,9289.27
35.7,708.262,12.2641,9289.47
35.75,708.221,12.1021,9289.68
35.8,708.18,11.9422,9289.88
35.85,708.14,11.7844,9290.08
35.9,708.101,11.6286,9290.27
35.95,708.062,11.475,9290.46
36,708.024,11.3233,9290.65
36.05,707.986,11.1737,9290.84
36.1,707.949,11.026,9291.03
36.15,707.912,10.8803,9291.21
36.2,707.876,10.7365,9291.39
36.25,707.84,10.5946,9291.57
36.3,707.804,10.4546,9291.74
36.35,707.769,10.3164,9291.91
36.4,707.735,10.1801,9292.08
36.45,707.701,10.0455,9292.25
36.5,707.667,9.91274,9292.42
36.55,707.634,9.78172,9292.58
36.6,707.602,9.65244,9292.75
36.65,707.569,9.52486,9292.91
36.7,707.538,9.39896,9293.06
36.75,707.506,9.27473,9293.22
36.8,707.475,9.15214,9293.37
36.85,707.445,9.03117,9293.52
36.9,707.415,8.91179,9293.67
36.95,707.385,8.79399,9293.82
37,707.355,8.67775,9293.97
37.05,707.327,8.56305,9294.11
37.1,707.298,8.44985,9294.25
37.15,707.27,8.33816,9294.39
37.2,707.242,8.22794,9294.53
37.25,707.214,8.11917,9294.67
37.3,707.187,8.01184,9294.8
37.35,707.161,7.90593,9294.93
37.4,707.134,7.80142,9295.06
37.45,707.108,7.69829,9295.19
37.5,707.083,7.59652,9295.32
37.55,707.057,7.4961,9295.45
37.6,707.032,7.397,9295.57
37.65,707.008,7.29921,9295.69
37.7,706.983,7.20271,9295.81
37.75,706.959,7.10749,9295.93
37.8,706.935,7.01353,9296.05
37.85,706.912,6.92081,9296.17
37.9,706.889,6.82931,9296.28
37.95,706.866,6.73902,9296.39
38,706.844,6.64993,9296.51
38.05,706.822,6.56201,9296.62
38.1,706.8,6.47525,9296.73
38.15,706.778,6.38964,9296.83
38.2,706.757,6.30516,9296.94
38.25,706.736,6.2218,9297.04
38.3,706.715,6.13954,9297.15
38.35,706.694,6.05837,9297.25
38.4,706.674,5.97827,9297.35
38.45,706.654,5.89922,9297.45
38.5,706.635,5.82123,9297.54
38.55,706.615,5.74426,9297.64
38.6,706.596,5.66831,9297.74
38.65,706.577,5.59336,9297.83
38.7,706.559,5.51941,9297.92
38.75,706.54,5.44643,9298.01
38.8,706.522,5.37441,9298.1
38.85,706.504,5.30335,9298.19
38.9,706.486,5.23323,9298.28
38.95,706.469,5.16403,9298.37
39,706.452,5.09575,9298.45
39.05,706.435,5.02837,9298.54
