time, S, I, R, M0, M1
28.55,731.877,87.8314,9174.39,4,4
28.6,731.574,86.6308,9175.85,5,4
28.65,731.275,85.4954,9177.28,9,9
28.7,730.98,84.3252,9178.69,4,3
28.75,730.689,83.2198,9180.09,4,4
28.8,730.402,82.1288,9181.47,5,5
28.85,730.119,81.052,9182.83,3,3
28.9,729.84,79.9893,9184.17,5,5
28.95,729.565,78.9403,9185.49,3,3
29,729.293,77.8057,9186.8,5,3
29.05,729.026,76.7355,9188.09,5,4
29.1,728.762,75.7289,9189.36,8,8
29.15,728.501,74.7354,9190.61,4,4
29.2,728.244,73.7549,9191.85,3,3
29.25,727.991,72.7872,9193.07,7,7
29.3,727.741,71.832,9194.28,4,4
29.35,727.495,70.79,9195.47,4,2
29.4,727.252,69.8609,9196.64,2,2
29.45,727.012,68.9439,9197.79,7,7
29.5,726.775,68.0389,9198.94,8,8
29.55,726.542,67.1457,9200.06,4,4
29.6,726.312,66.2145,9201.17,7,6
29.65,726.085,65.3451,9202.27,1,1
29.7,725.861,64.487,9203.35,3,3
29.75,725.64,63.6402,9204.42,0,0
29.8,725.423,62.8044,9205.47,5,5
29.85,725.208,61.9795,9206.51,2,2
29.9,724.996,61.1654,9207.54,5,5
29.95,724.786,60.3122,9208.55,5,4
30,724.58,59.5199,9209.55,2,2
30.05,724.377,58.6882,9210.54,10,9
30.1,724.176,57.8178,9211.51,4,2
30.15,723.979,57.0581,9212.46,2,2
30.2,723.784,56.3083,9213.41,3,3
30.25,723.592,55.4689,9214.34,3,1
30.3,723.402,54.7399,9215.26,4,4
30.35,723.216,54.0204,9216.16,1,1
30.4,723.031,53.3103,9217.06,3,3
30.45,722.849,52.6096,9217.94,3,3
30.5,722.67,51.9179,9218.81,5,5
30.55,722.493,51.2354,9219.67,4,4
30.6,722.318,50.5617,9220.52,8,8
30.65,722.146,49.8969,9221.36,6,6
30.7,721.976,49.1911,9222.18,6,5
30.75,721.809,48.5443,9223,10,10
30.8,721.643,47.8562,9223.8,4,3
30.85,721.48,47.2268,9224.59,6,6
30.9,721.32,46.6056,9225.37,6,6
30.95,721.161,45.9926,9226.15,5,5
31,721.004,45.3876,9226.91,4,4
31.05,720.85,44.7905,9227.66,5,5
31.1,720.698,44.2013,9228.4,4,4
31.15,720.547,43.6198,9229.13,4,4
31.2,720.399,42.9962,9229.85,5,4
31.25,720.253,42.4305,9230.57,5,5
31.3,720.109,41.8722,9231.27,3,3
31.35,719.967,41.3212,9231.96,6,6
31.4,719.826,40.7774,9232.65,1,1
31.45,719.688,40.2408,9233.32,6,6
31.5,719.551,39.7112,9233.99,4,4
31.55,719.416,39.1885,9234.65,6,6
31.6,719.283,38.6727,9235.29,3,3
31.65,719.152,38.1636,9235.93,4,4
31.7,719.023,37.6116,9236.57,5,4
31.75,718.895,37.1165,9237.19,3,3
31.8,718.769,36.6279,9237.8,7,7
